person_id,classification,reason,main_activity_types,home_coordinates_epsg31468
1510282,NO_HOME_ACTIVITY,No exact home main activity in the selected plan,work;other,
1510437,NO_HOME_ACTIVITY,No exact home main activity in the selected plan,work;other,
1510475,NO_HOME_ACTIVITY,No exact home main activity in the selected plan,work;other,
1510534,NO_HOME_ACTIVITY,No exact home main activity in the selected plan,other,
1510586,NO_HOME_ACTIVITY,No exact home main activity in the selected plan,other,
1510656,NO_HOME_ACTIVITY,No exact home main activity in the selected plan,other,
1510676,NO_HOME_ACTIVITY,No exact home main activity in the selected plan,work;other,
1510739,NO_HOME_ACTIVITY,No exact home main activity in the selected plan,other,
1510748,NO_HOME_ACTIVITY,No exact home main activity in the selected plan,other,
1510792,NO_HOME_ACTIVITY,No exact home main activity in the selected plan,work;other,
1510852,NO_HOME_ACTIVITY,No exact home main activity in the selected plan,other,
1511111,NO_HOME_ACTIVITY,No exact home main activity in the selected plan,other,
1511124,NO_HOME_ACTIVITY,No exact home main activity in the selected plan,work;other,
