mode,round_3_constant,round_3_late_mean_physical_trip_share_percent,target_trip_share_percent,relative_log_ratio_update,damping_factor,damped_update,cumulative_round_4_constant,reference_mode,round_3_analysis_provenance,method_provenance
car,0.000000000,27.950996074,34.000000000,0.000000000000,0.500000,0.000000000000,0.000000000,car,scenarios/munich_calibration_2019/output/resident-mode-choice-round-3/analysis/resident_mode_choice_late_iteration_statistics.csv,docs/methodology/resident_mode_choice_calibration.md
pt,0.724680779,58.556565363,24.000000000,-1.087847073937,0.500000,-0.543923536968,0.180757242,car,scenarios/munich_calibration_2019/output/resident-mode-choice-round-3/analysis/resident_mode_choice_late_iteration_statistics.csv,docs/methodology/resident_mode_choice_calibration.md
bike,0.267435138,8.107023411,18.000000000,0.601733296204,0.500000,0.300866648102,0.568301786,car,scenarios/munich_calibration_2019/output/resident-mode-choice-round-3/analysis/resident_mode_choice_late_iteration_statistics.csv,docs/methodology/resident_mode_choice_calibration.md
walk,2.803360913,5.385415152,24.000000000,1.298451740621,0.500000,0.649225870310,3.452586783,car,scenarios/munich_calibration_2019/output/resident-mode-choice-round-3/analysis/resident_mode_choice_late_iteration_statistics.csv,docs/methodology/resident_mode_choice_calibration.md
