mode,round_2_constant,round_2_late_mean_physical_trip_share_percent,target_trip_share_percent,relative_log_ratio_update,damping_factor,damped_update,cumulative_round_3_constant,reference_mode,round_2_analysis_provenance,method_provenance
car,0.000000000,44.306529010,34.000000000,0.000000000000,0.500000,0.000000000000,0.000000000,car,scenarios/munich_calibration_2019/output/resident-mode-choice-round-2/analysis/resident_mode_choice_late_iteration_statistics.csv,docs/methodology/resident_mode_choice_calibration.md
pt,0.853797000,40.490111967,24.000000000,-0.258232441701,0.500000,-0.129116220851,0.724680779,car,scenarios/munich_calibration_2019/output/resident-mode-choice-round-2/analysis/resident_mode_choice_late_iteration_statistics.csv,docs/methodology/resident_mode_choice_calibration.md
bike,-0.095617000,11.347971499,18.000000000,0.726104275787,0.500000,0.363052137894,0.267435138,car,scenarios/munich_calibration_2019/output/resident-mode-choice-round-2/analysis/resident_mode_choice_late_iteration_statistics.csv,docs/methodology/resident_mode_choice_calibration.md
walk,1.756684000,3.855387524,24.000000000,2.093353826643,0.500000,1.046676913322,2.803360913,car,scenarios/munich_calibration_2019/output/resident-mode-choice-round-2/analysis/resident_mode_choice_late_iteration_statistics.csv,docs/methodology/resident_mode_choice_calibration.md
