person_id,runtime_cohort,leg_mode,planned_origin_type,planned_destination_type,planned_departure_time,route_distance,realized_departure_time,elapsed_to_48h_seconds,last_event_before_stuck,last_event_time,last_link_id,last_car_movement,last_car_movement_time,last_car_movement_link,pt_reached_stop,pt_boarded,pt_left_vehicle,pt_on_vehicle_at_cutoff,waiting_stop,destination_stop,transit_vehicle,transit_line,transit_route,already_stuck_at_43h,root_cause
"7269688",regional_background,pt,"other","home",59069.000,21631.380,63246.000,109554.000,waitingForPt,63246.000,"104225.1",<none>,,"",true,false,false,false,"104225.1","102420.1","","","",true,PT_NEVER_BOARDED
"727473",regional_background,pt,"work","home",20447.000,4483.113,81706.000,91094.000,waitingForPt,81706.000,"13217",<none>,,"",true,false,false,false,"13217","13293","","","",true,PT_NEVER_BOARDED
"728121",regional_background,pt,"education","home",21030.000,5182.144,73029.000,99771.000,waitingForPt,73029.000,"8057",<none>,,"",true,false,false,false,"8057","8297","","","",true,PT_NEVER_BOARDED
"7282387",regional_background,pt,"other","home",42226.000,4838.725,81187.000,91613.000,waitingForPt,81187.000,"4335.1",<none>,,"",true,false,false,false,"4335.1","102022.1","","","",true,PT_NEVER_BOARDED
"728515",regional_background,pt,"education","home",47340.000,21257.781,76083.000,96717.000,waitingForPt,76083.000,"6897",<none>,,"",true,true,true,false,"6897","8129","tr_27937","XXX---2268675_3","XXX---2268675_3_1",true,PT_BOARDED_NOT_ARRIVED
"7293238",regional_background,pt,"other","home",55483.000,9585.959,66870.000,105930.000,waitingForPt,66870.000,"101693.3",<none>,,"",true,true,true,false,"101693.3","145685.1","tr_116","XXX---161788_2","XXX---161788_2_21",true,PT_BOARDED_NOT_ARRIVED
"7298832",regional_background,pt,"other","home",61200.000,4389.616,75514.000,97286.000,waitingForPt,75514.000,"102459",<none>,,"",true,true,true,false,"102459","129025","tr_427","XXX---161788_2","XXX---161788_2_194",true,PT_BOARDED_NOT_ARRIVED
"7298972",regional_background,pt,"other","home",60666.000,5107.761,64770.000,108030.000,waitingForPt,64770.000,"128987",<none>,,"",true,true,true,false,"128987","129040","tr_37144","XXX---2270082_3","XXX---2270082_3_18",true,PT_BOARDED_NOT_ARRIVED
"7300451",regional_background,pt,"other","home",66042.000,12411.389,71285.000,101515.000,waitingForPt,71285.000,"128766.1",<none>,,"",true,false,false,false,"128766.1","127132","","","",true,PT_NEVER_BOARDED
"7305139",regional_background,pt,"other","home",70406.000,16153.203,73620.000,99180.000,waitingForPt,73620.000,"127927",<none>,,"",true,false,false,false,"127927","127170","","","",true,PT_NEVER_BOARDED
"7328920",regional_background,pt,"other","home",15220.000,4150.984,75582.000,97218.000,waitingForPt,75582.000,"127249",<none>,,"",true,false,false,false,"127249","101666","","","",true,PT_NEVER_BOARDED
"7331611",regional_background,pt,"other","home",57300.000,5232.100,63407.000,109393.000,waitingForPt,63407.000,"101674.1",<none>,,"",true,true,true,false,"101674.1","102238","tr_261","XXX---161788_2","XXX---161788_2_100",true,PT_BOARDED_NOT_ARRIVED
"7333832",regional_background,pt,"other","home",66862.000,8149.314,69579.000,103221.000,waitingForPt,69579.000,"127231.2",<none>,,"",true,false,false,false,"127231.2","128492.1","","","",true,PT_NEVER_BOARDED
"7341907",regional_background,pt,"other","home",10935.000,16452.224,66099.000,106701.000,waitingForPt,66099.000,"20813.2",<none>,,"",true,false,false,false,"20813.2","145895","","","",true,PT_NEVER_BOARDED
"7343125",regional_background,pt,"other","home",10243.000,11544.969,93348.000,79452.000,waitingForPt,93348.000,"102066.5",<none>,,"",true,false,false,false,"102066.5","101817.3","","","",true,PT_NEVER_BOARDED
"7346486",regional_background,pt,"other","home",65766.000,11182.398,68857.000,103943.000,waitingForPt,68857.000,"129200.1",<none>,,"",true,false,false,false,"129200.1","102458.3","","","",true,PT_NEVER_BOARDED
"7353624",regional_background,pt,"other","home",59580.000,17026.100,66943.000,105857.000,waitingForPt,66943.000,"129186",<none>,,"",true,false,false,false,"129186","128951","","","",true,PT_NEVER_BOARDED
"7369682",regional_background,pt,"other","home",70986.000,4315.152,73566.000,99234.000,waitingForPt,73566.000,"128319",<none>,,"",true,false,false,false,"128319","128078","","","",true,PT_NEVER_BOARDED
"7379351",regional_background,pt,"other","home",55862.000,11797.758,59513.000,113287.000,waitingForPt,59513.000,"145986",<none>,,"",true,false,false,false,"145986","129198","","","",true,PT_NEVER_BOARDED
"7380033",regional_background,pt,"other","home",59461.000,12068.989,74721.000,98079.000,waitingForPt,74721.000,"145277.1",<none>,,"",true,true,true,false,"145277.1","128909","tr_13758","XXX---2249918_0","XXX---2249918_0_9",true,PT_BOARDED_NOT_ARRIVED
"7384394",regional_background,pt,"other","home",48725.000,16859.714,56033.000,116767.000,waitingForPt,56033.000,"128343",<none>,,"",true,false,false,false,"128343","127283","","","",true,PT_NEVER_BOARDED
