person_id,runtime_cohort,old_leg_mode,old_stuck_time,first_arrival_after_43h,last_arrival_time,last_event_type,last_event_time,observed_arrival_after_43h
"3103399",munich_resident,car,154800.000,165896.000,165896.000,actstart,165896.000,true
"3114005",unresolved_background,car,154800.000,165441.000,165441.000,actstart,165441.000,true
"3117275",munich_resident,car,154800.000,167226.000,167226.000,actstart,167226.000,true
"3118921",munich_resident,car,154800.000,155501.000,155501.000,actstart,155501.000,true
"3124632",munich_resident,car,154800.000,155162.000,155839.000,actstart,155839.000,true
"3131996",unresolved_background,car,154800.000,164334.000,164334.000,actstart,164334.000,true
"3132606",unresolved_background,car,154800.000,158787.000,158787.000,actstart,158787.000,true
"3140418",unresolved_background,car,154800.000,164015.000,164015.000,actstart,164015.000,true
"3143853",munich_resident,car,154800.000,170045.000,170045.000,actstart,170045.000,true
"3147743",munich_resident,car,154800.000,156280.000,157620.000,actstart,157620.000,true
"3148789",munich_resident,car,154800.000,165302.000,165302.000,actstart,165302.000,true
"3155926",munich_resident,car,154800.000,165683.000,165683.000,actstart,165683.000,true
"3158533",munich_resident,car,154800.000,169147.000,169147.000,actstart,169147.000,true
"3161645",munich_resident,car,154800.000,156482.000,156482.000,actstart,156482.000,true
"3163877",munich_resident,car,154800.000,163402.000,163402.000,actstart,163402.000,true
"3165218",unresolved_background,car,154800.000,160880.000,160880.000,actstart,160880.000,true
"3173343",unresolved_background,car,154800.000,159090.000,159090.000,actstart,159090.000,true
"3176920",unresolved_background,car,154800.000,172524.000,172524.000,actstart,172524.000,true
"3186215",munich_resident,car,154800.000,159618.000,159618.000,actstart,159618.000,true
"3190261",unresolved_background,car,154800.000,157065.000,157065.000,actstart,157065.000,true
"3190847",munich_resident,car,154800.000,170180.000,170180.000,actstart,170180.000,true
"3191799",unresolved_background,car,154800.000,159796.000,159796.000,actstart,159796.000,true
"3201497",unresolved_background,car,154800.000,170800.000,170800.000,actstart,170800.000,true
"3207104",unresolved_background,car,154800.000,166219.000,166219.000,actstart,166219.000,true
"3215069",munich_resident,car,154800.000,170289.000,170289.000,actstart,170289.000,true
"321663",munich_resident,car,154800.000,165420.000,165420.000,actstart,165420.000,true
"3228431",unresolved_background,car,154800.000,170624.000,170624.000,actstart,170624.000,true
"3234127",munich_resident,car,154800.000,163621.000,163621.000,actstart,163621.000,true
"3243923",unresolved_background,car,154800.000,158944.000,158944.000,actstart,158944.000,true
"3244434",munich_resident,car,154800.000,169701.000,170293.000,actstart,170293.000,true
"3247120",munich_resident,car,154800.000,162070.000,163158.000,actstart,163158.000,true
"3247950",munich_resident,car,154800.000,166825.000,166825.000,actstart,166825.000,true
"3249321",unresolved_background,car,154800.000,164379.000,164379.000,actstart,164379.000,true
"3253311",unresolved_background,car,154800.000,154981.000,154981.000,actstart,154981.000,true
"3256027",munich_resident,car,154800.000,161799.000,162470.000,actstart,162470.000,true
"327355",munich_resident,car,154800.000,165575.000,165575.000,actstart,165575.000,true
"3275603",munich_resident,car,154800.000,155776.000,156231.000,actstart,156231.000,true
"3281486",munich_resident,car,154800.000,155275.000,155275.000,actstart,155275.000,true
"3284412",munich_resident,car,154800.000,160153.000,160992.000,actstart,160992.000,true
"3285719",munich_resident,car,154800.000,159659.000,160757.000,actstart,160757.000,true
"3290548",munich_resident,car,154800.000,162628.000,162628.000,actstart,162628.000,true
"3298274",munich_resident,car,154800.000,160041.000,160041.000,actstart,160041.000,true
"3304255",munich_resident,car,154800.000,168360.000,168360.000,actstart,168360.000,true
"3308986",munich_resident,car,154800.000,159451.000,159451.000,actstart,159451.000,true
"3322335",munich_resident,car,154800.000,158364.000,158364.000,actstart,158364.000,true
"3325471",unresolved_background,car,154800.000,156974.000,156974.000,actstart,156974.000,true
"3325609",munich_resident,car,154800.000,159070.000,159070.000,actstart,159070.000,true
"3328826",munich_resident,car,154800.000,161965.000,161965.000,actstart,161965.000,true
"3329138",munich_resident,car,154800.000,169625.000,169625.000,actstart,169625.000,true
"334083",munich_resident,car,154800.000,159892.000,159892.000,actstart,159892.000,true
"3350898",unresolved_background,car,154800.000,171701.000,171701.000,actstart,171701.000,true
"3354901",munich_resident,car,154800.000,163977.000,163977.000,actstart,163977.000,true
"3358151",munich_resident,car,154800.000,160370.000,160370.000,actstart,160370.000,true
"3359012",munich_resident,car,154800.000,166847.000,167444.000,actstart,167444.000,true
"3361719",munich_resident,car,154800.000,162791.000,162791.000,actstart,162791.000,true
"3370981",unresolved_background,car,154800.000,157475.000,157475.000,actstart,157475.000,true
"3373962",munich_resident,car,154800.000,154860.000,154860.000,actstart,154860.000,true
"337683",munich_resident,car,154800.000,156766.000,156766.000,actstart,156766.000,true
"3380765",unresolved_background,car,154800.000,168723.000,168723.000,actstart,168723.000,true
"3386965",unresolved_background,car,154800.000,162030.000,162030.000,actstart,162030.000,true
"3388887",munich_resident,car,154800.000,171161.000,171161.000,actstart,171161.000,true
"339268",munich_resident,car,154800.000,161402.000,161402.000,actstart,161402.000,true
"3396903",munich_resident,car,154800.000,163353.000,163353.000,actstart,163353.000,true
"3409139",munich_resident,car,154800.000,170151.000,170901.000,actstart,170901.000,true
"3412512",munich_resident,car,154800.000,155393.000,156068.000,actstart,156068.000,true
"3423806",munich_resident,car,154800.000,162870.000,162870.000,actstart,162870.000,true
"3425550",munich_resident,car,154800.000,161479.000,162427.000,actstart,162427.000,true
"3437976",munich_resident,car,154800.000,165607.000,165607.000,actstart,165607.000,true
"3439194",munich_resident,car,154800.000,168411.000,168411.000,actstart,168411.000,true
"343932",munich_resident,car,154800.000,162124.000,162124.000,actstart,162124.000,true
"3442702",munich_resident,car,154800.000,168914.000,168914.000,actstart,168914.000,true
"3450123",munich_resident,car,154800.000,160372.000,160372.000,actstart,160372.000,true
"3452135",munich_resident,car,154800.000,166115.000,166115.000,actstart,166115.000,true
"3453701",munich_resident,car,154800.000,165580.000,165580.000,actstart,165580.000,true
"3477018",munich_resident,car,154800.000,167529.000,167529.000,actstart,167529.000,true
"3480813",munich_resident,car,154800.000,167753.000,167753.000,actstart,167753.000,true
"3481793",munich_resident,car,154800.000,166598.000,167374.000,actstart,167374.000,true
"3482753",munich_resident,car,154800.000,155406.000,156091.000,actstart,156091.000,true
"3495489",munich_resident,car,154800.000,164103.000,164103.000,actstart,164103.000,true
"3497887",unresolved_background,car,154800.000,170923.000,170923.000,actstart,170923.000,true
"3510211",munich_resident,car,154800.000,171798.000,171798.000,actstart,171798.000,true
"3521449",munich_resident,car,154800.000,170142.000,170142.000,actstart,170142.000,true
"3534837",unresolved_background,car,154800.000,166458.000,166458.000,actstart,166458.000,true
"3535053",unresolved_background,car,154800.000,167210.000,167210.000,actstart,167210.000,true
"3540434",munich_resident,car,154800.000,159378.000,159378.000,actstart,159378.000,true
"3547242",munich_resident,car,154800.000,171403.000,171403.000,actstart,171403.000,true
"3556670",munich_resident,car,154800.000,169049.000,169883.000,actstart,169883.000,true
"3557700",munich_resident,car,154800.000,164235.000,164235.000,actstart,164235.000,true
"3560970",munich_resident,car,154800.000,169419.000,169419.000,actstart,169419.000,true
"3560995",munich_resident,car,154800.000,156206.000,156206.000,actstart,156206.000,true
"3567165",munich_resident,car,154800.000,171336.000,171336.000,actstart,171336.000,true
"3570387",munich_resident,car,154800.000,170058.000,171187.000,actstart,171187.000,true
"3573607",unresolved_background,car,154800.000,156224.000,156224.000,actstart,156224.000,true
"3585239",munich_resident,car,154800.000,160566.000,160566.000,actstart,160566.000,true
"3593247",munich_resident,car,154800.000,168849.000,168849.000,actstart,168849.000,true
"359464",munich_resident,car,154800.000,157797.000,157797.000,actstart,157797.000,true
"3596726",munich_resident,car,154800.000,165303.000,165303.000,actstart,165303.000,true
"3601175",unresolved_background,car,154800.000,157979.000,157979.000,actstart,157979.000,true
"3604206",munich_resident,car,154800.000,157299.000,157299.000,actstart,157299.000,true
"3605455",munich_resident,car,154800.000,163452.000,163452.000,actstart,163452.000,true
"3612839",munich_resident,car,154800.000,163929.000,163929.000,actstart,163929.000,true
"3618317",munich_resident,car,154800.000,155636.000,155636.000,actstart,155636.000,true
"3618827",munich_resident,car,154800.000,169477.000,170144.000,actstart,170144.000,true
"3620414",munich_resident,car,154800.000,168233.000,168233.000,actstart,168233.000,true
"363924",munich_resident,car,154800.000,168543.000,168543.000,actstart,168543.000,true
"3655296",munich_resident,car,154800.000,156521.000,157626.000,actstart,157626.000,true
"3657696",munich_resident,car,154800.000,166371.000,167307.000,actstart,167307.000,true
"3663623",munich_resident,car,154800.000,165205.000,165205.000,actstart,165205.000,true
"3663847",munich_resident,car,154800.000,166644.000,167166.000,actstart,167166.000,true
"3666356",unresolved_background,car,154800.000,158534.000,158534.000,actstart,158534.000,true
"3671551",munich_resident,car,154800.000,172339.000,172339.000,actstart,172339.000,true
"3675531",unresolved_background,car,154800.000,170239.000,170239.000,actstart,170239.000,true
"3675997",munich_resident,car,154800.000,165091.000,165091.000,actstart,165091.000,true
"377402",munich_resident,car,154800.000,160428.000,160428.000,actstart,160428.000,true
"377473",munich_resident,car,154800.000,155169.000,155169.000,actstart,155169.000,true
"3782698",unresolved_background,car,154800.000,156136.000,156136.000,actstart,156136.000,true
"3838241",unresolved_background,car,154800.000,170537.000,170537.000,actstart,170537.000,true
"392977",munich_resident,car,154800.000,157631.000,157631.000,actstart,157631.000,true
"4032100",unresolved_background,car,154800.000,156490.000,156490.000,actstart,156490.000,true
"4071220",unresolved_background,car,154800.000,159650.000,159650.000,actstart,159650.000,true
"409727",munich_resident,car,154800.000,158611.000,158611.000,actstart,158611.000,true
"4185239",regional_background,car,154800.000,169769.000,169769.000,actstart,169769.000,true
"4200160",unresolved_background,walk,154800.000,164934.000,164934.000,actstart,164934.000,true
"421576",munich_resident,car,154800.000,162626.000,162626.000,actstart,162626.000,true
"4288119",regional_background,car,154800.000,158906.000,160898.000,actstart,160898.000,true
"4314660",regional_background,car,154800.000,156751.000,157623.000,actstart,157623.000,true
"432929",munich_resident,car,154800.000,170326.000,170326.000,actstart,170326.000,true
"4329601",regional_background,car,154800.000,170106.000,170106.000,actstart,170106.000,true
"4330676",regional_background,car,154800.000,156620.000,158214.000,actstart,158214.000,true
"4337197",regional_background,car,154800.000,155823.000,155823.000,actstart,155823.000,true
"4340742",regional_background,car,154800.000,157242.000,158619.000,actstart,158619.000,true
"4344742",regional_background,car,154800.000,156933.000,158344.000,actstart,158344.000,true
"4354463",regional_background,car,154800.000,165748.000,167122.000,actstart,167122.000,true
"4367937",regional_background,car,154800.000,156391.000,156391.000,actstart,156391.000,true
"4368845",unresolved_background,car,154800.000,164025.000,164025.000,actstart,164025.000,true
"4377111",regional_background,car,154800.000,156029.000,157753.000,actstart,157753.000,true
"4385612",regional_background,car,154800.000,157289.000,157289.000,actstart,157289.000,true
"4389794",regional_background,car,154800.000,157111.000,157111.000,actstart,157111.000,true
"439090",munich_resident,car,154800.000,155149.000,155149.000,actstart,155149.000,true
"439174",munich_resident,car,154800.000,159359.000,159359.000,actstart,159359.000,true
"4393531",regional_background,car,154800.000,155597.000,156682.000,actstart,156682.000,true
"4397593",regional_background,car,154800.000,157738.000,157738.000,actstart,157738.000,true
"4399587",regional_background,car,154800.000,156765.000,156765.000,actstart,156765.000,true
"440040",munich_resident,car,154800.000,166290.000,166290.000,actstart,166290.000,true
"4400661",regional_background,car,154800.000,161021.000,162202.000,actstart,162202.000,true
"4406673",regional_background,car,154800.000,171119.000,171119.000,actstart,171119.000,true
"4408645",regional_background,car,154800.000,171872.000,171872.000,actstart,171872.000,true
"4410303",regional_background,car,154800.000,172683.000,172683.000,actstart,172683.000,true
"4412000",regional_background,car,154800.000,155810.000,156927.000,actstart,156927.000,true
"4420042",regional_background,car,154800.000,170841.000,170841.000,actstart,170841.000,true
"4424116",regional_background,car,154800.000,157570.000,158447.000,actstart,158447.000,true
"4425608",regional_background,car,154800.000,156785.000,158005.000,actstart,158005.000,true
"4427717",regional_background,car,154800.000,160284.000,162072.000,actstart,162072.000,true
"4428496",regional_background,car,154800.000,159136.000,160660.000,actstart,160660.000,true
"4432071",regional_background,car,154800.000,160819.000,161958.000,actstart,161958.000,true
"4435248",regional_background,car,154800.000,158684.000,159628.000,actstart,159628.000,true
"4436358",regional_background,car,154800.000,159398.000,160779.000,actstart,160779.000,true
"4438723",regional_background,car,154800.000,157766.000,157766.000,actstart,157766.000,true
"4439422",regional_background,car,154800.000,159111.000,160627.000,actstart,160627.000,true
"4442993",regional_background,car,154800.000,158199.000,159325.000,actstart,159325.000,true
"4446033",regional_background,car,154800.000,155910.000,155910.000,actstart,155910.000,true
"4448048",regional_background,car,154800.000,157165.000,158855.000,actstart,158855.000,true
"4448313",regional_background,car,154800.000,161406.000,162977.000,actstart,162977.000,true
"4461565",regional_background,car,154800.000,161777.000,163226.000,actstart,163226.000,true
"4473994",regional_background,car,154800.000,156424.000,156424.000,actstart,156424.000,true
"4483115",regional_background,car,154800.000,157097.000,157097.000,actstart,157097.000,true
"4484441",regional_background,car,154800.000,166538.000,166538.000,actstart,166538.000,true
"4486964",regional_background,car,154800.000,157199.000,157199.000,actstart,157199.000,true
"4488003",regional_background,car,154800.000,157694.000,157694.000,actstart,157694.000,true
"4488061",regional_background,car,154800.000,158033.000,159236.000,actstart,159236.000,true
